"review_id","overall_score","overall_magnitude","food_score","service_score","value_score","ambiance_score","language","emotions","restaurant_id","user_id"
"1","0.699999988079071","5","0.8999999761581421","-0.10000000149011612","0","0.8999999761581421","en","[""satisfaction""]","ChIJaZxVboEoQg0R2Xyk4VBN6QA","1"
"2","0.4000000059604645","5.900000095367432","0.4499999862164259","0.09999999403953552","0.800000011920929","-0.10000000149011612","en","[""contentment""]","ChIJaZxVboEoQg0R2Xyk4VBN6QA","2"
"3","0.8999999761581421","1.899999976158142","0.8999999761581421","0","0","0","en","[""joy""]","ChIJaZxVboEoQg0R2Xyk4VBN6QA","3"
"4","0.8999999761581421","6.599999904632568","0.8999999761581421","0.8999999761581421","0","0","en","[""joy""]","ChIJaZxVboEoQg0R2Xyk4VBN6QA","4"
"5","0.5","7.300000190734863","0","0","0","0.8999999761581421","en","[""contentment""]","ChIJ189rc3soQg0R7l7WUa5fgo8","5"
"6","0.20000000298023224","5.900000095367432","0.8999999761581421","0.8999999761581421","0.800000011920929","0","en","[""contentment""]","ChIJ189rc3soQg0R7l7WUa5fgo8","6"
"7","0.699999988079071","3.9000000953674316","0.8999999761581421","0.8999999761581421","0","0","en","[""satisfaction""]","ChIJ189rc3soQg0R7l7WUa5fgo8","7"
"11","0.8999999761581421","4.699999809265137","0.800000011920929","0.8999999761581421","0.8999999761581421","0.800000011920929","en","[""joy""]","ChIJcfNWJ9YnQg0RZLL0hcVboYA","11"
"12","0.699999988079071","3.799999952316284","0.8999999761581421","0.8999999761581421","0.8999999761581421","0","en","[""satisfaction""]","ChIJcfNWJ9YnQg0RZLL0hcVboYA","12"
"13","0.8999999761581421","3.5999999046325684","0","0.8999999761581421","0","0","en","[""joy""]","ChIJcfNWJ9YnQg0RZLL0hcVboYA","13"
"14","0.800000011920929","5.099999904632568","0.8999999761581421","0","0","0.5","en","[""joy""]","ChIJsTMCAocoQg0R2in-xQOdPwc","14"
"15","0.6000000238418579","6.199999809265137","0.8749999850988388","0.8499999940395355","0.4000000059604645","0","en","[""satisfaction""]","ChIJsTMCAocoQg0R2in-xQOdPwc","15"
"16","0.8999999761581421","0.8999999761581421","0","0","0","0.8999999761581421","en","[]","Rosi La Loca is small but mighty","16"
